C3646|Header_Concept|Neoplasm of Uncertain Malignant Potential|C3341|Pre-Cancerous Condition|NCI-2009-00324
C9199|Obsolete_Concept|Stage II Non-Contiguous Adult Diffuse Mixed Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma|NCI-2013-00464,NCI-2012-00644,NCI-2013-00069,NCI-2009-01208,NCI-2012-00639,NCI-2012-01078,NCI-2010-02157,NCI-2014-01535,NCI-2013-00003,NCI-2010-02003,NCI-2012-00773,NCI-2013-01017,NCI-2012-00640,NCI-2012-01079,NCI-2011-02878,NCI-2013-02359,NCI-2012-01889,NCI-2012-00636
C8161|Obsolete_Concept|Recurrent Adult Diffuse Large Cell Lymphoma|C9251|Recurrent Non-Hodgkin Lymphoma|NCI-2013-00464,NCI-2013-00832,NCI-2014-00121,NCI-2013-01989,NCI-2012-00644,NCI-2014-00470,NCI-2014-01309,NCI-2013-01956,NCI-2009-01348,NCI-2013-02490,NCI-2014-02213,NCI-2012-00653,NCI-2013-00539,NCI-2013-00691,NCI-2012-00845,NCI-2009-01208,NCI-2012-00639,NCI-2012-01078,NCI-2012-01942,NCI-2012-00807,NCI-2012-00816,NCI-2014-01875,NCI-2012-01389,NCI-2014-00399,NCI-2013-00698,NCI-2010-02157,NCI-2012-00044,NCI-2014-01535,NCI-2013-01940,NCI-2010-01386,NCI-2012-00715,NCI-2014-00707,NCI-2014-01934,NCI-2010-00228,NCI-2011-01368,NCI-2013-00003,NCI-2012-00654,NCI-2009-00556,NCI-2011-00877,NCI-2013-02164,NCI-2012-01076,NCI-2010-02326,NCI-2012-00387,NCI-2010-02003,NCI-2012-00773,NCI-2014-00173,NCI-2013-01017,NCI-2012-00640,NCI-2012-00808,NCI-2012-00863,NCI-2013-02201,NCI-2014-01112,NCI-2014-02186,NCI-2011-02508,NCI-2011-02695,NCI-2012-01079,NCI-2014-01843,NCI-2013-02399,NCI-2012-02174,NCI-2012-01505,NCI-2016-00095,NCI-2012-01889,NCI-2012-02794,NCI-2012-01948,NCI-2013-01016,NCI-2011-00986,NCI-2012-00680,NCI-2011-01189,NCI-2014-02250,NCI-2012-00636,NCI-2014-01534,NCI-2013-02382,NCI-2016-01820,NCI-2016-00991,NCI-2011-00377
C8160|Obsolete_Concept|Recurrent Adult Diffuse Mixed Cell Lymphoma|C9251|Recurrent Non-Hodgkin Lymphoma|NCI-2013-00464,NCI-2014-00121,NCI-2013-01989,NCI-2012-00644,NCI-2014-01309,NCI-2013-01956,NCI-2014-02213,NCI-2012-00653,NCI-2012-00845,NCI-2009-01208,NCI-2012-00639,NCI-2012-01078,NCI-2012-01942,NCI-2012-00807,NCI-2012-00816,NCI-2010-02157,NCI-2012-00044,NCI-2014-01535,NCI-2013-01940,NCI-2012-00715,NCI-2014-00707,NCI-2010-00228,NCI-2011-01368,NCI-2013-00003,NCI-2012-00654,NCI-2013-02164,NCI-2012-01076,NCI-2012-00387,NCI-2010-02003,NCI-2012-00773,NCI-2013-01017,NCI-2012-00640,NCI-2013-02201,NCI-2014-02186,NCI-2011-02695,NCI-2012-01079,NCI-2014-01843,NCI-2012-01505,NCI-2012-01889,NCI-2013-01016,NCI-2011-00986,NCI-2012-00680,NCI-2012-00636,NCI-2014-01534
C70588|Obsolete_Concept|Recurrent Adult Diffuse Small Cleaved Cell Lymphoma|C9251|Recurrent Non-Hodgkin Lymphoma|NCI-2013-00464,NCI-2014-00121,NCI-2013-01989,NCI-2012-00644,NCI-2014-01309,NCI-2014-02213,NCI-2012-00653,NCI-2012-00845,NCI-2009-01208,NCI-2012-00639,NCI-2012-01078,NCI-2012-01942,NCI-2012-00816,NCI-2010-02157,NCI-2012-00044,NCI-2014-01535,NCI-2013-01940,NCI-2012-00715,NCI-2014-00707,NCI-2010-00228,NCI-2011-01368,NCI-2013-00003,NCI-2012-00654,NCI-2012-00387,NCI-2010-02003,NCI-2012-00773,NCI-2013-01017,NCI-2012-00640,NCI-2013-02201,NCI-2014-02186,NCI-2011-02695,NCI-2012-01079,NCI-2014-01843,NCI-2012-01505,NCI-2013-01016,NCI-2011-00986,NCI-2012-00680,NCI-2012-00636,NCI-2014-01534
C8134|Obsolete_Concept|Stage III Adult Diffuse Mixed Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma|NCI-2013-00464,NCI-2012-00644,NCI-2013-00069,NCI-2009-01208,NCI-2012-00639,NCI-2012-01078,NCI-2012-00807,NCI-2010-02157,NCI-2014-01535,NCI-2013-00003,NCI-2012-01076,NCI-2010-02003,NCI-2012-00773,NCI-2013-01017,NCI-2012-00640,NCI-2012-01079,NCI-2014-01843,NCI-2011-02878,NCI-2013-02359,NCI-2012-01889,NCI-2012-00636
C8133|Obsolete_Concept|Stage III Adult Diffuse Small Cleaved Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma|NCI-2013-00464,NCI-2012-00644,NCI-2013-00069,NCI-2009-01208,NCI-2012-00639,NCI-2012-01078,NCI-2014-01535,NCI-2013-00003,NCI-2010-02003,NCI-2012-00773,NCI-2013-01017,NCI-2012-00640,NCI-2012-01079,NCI-2014-01843,NCI-2013-02359,NCI-2012-00636
C8147|Obsolete_Concept|Stage IV Adult Diffuse Mixed Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma|NCI-2013-00464,NCI-2012-00644,NCI-2013-00069,NCI-2009-01208,NCI-2012-00639,NCI-2012-01078,NCI-2012-00807,NCI-2010-02157,NCI-2014-01535,NCI-2013-01940,NCI-2013-00003,NCI-2012-01076,NCI-2010-02003,NCI-2012-00773,NCI-2013-01017,NCI-2012-00640,NCI-2012-01079,NCI-2014-01843,NCI-2011-02878,NCI-2013-02359,NCI-2012-01889,NCI-2012-00636
C8146|Obsolete_Concept|Stage IV Adult Diffuse Small Cleaved Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma|NCI-2013-00464,NCI-2012-00644,NCI-2013-00069,NCI-2009-01208,NCI-2012-00639,NCI-2012-01078,NCI-2014-01535,NCI-2013-01940,NCI-2013-00003,NCI-2010-02003,NCI-2012-00773,NCI-2013-01017,NCI-2012-00640,NCI-2012-01079,NCI-2014-01843,NCI-2013-02359,NCI-2012-00636
C8077|Obsolete_Concept|Stage I Adult Diffuse Large Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma|NCI-2013-00464,NCI-2011-02673,NCI-2012-00644,NCI-2014-00470,NCI-2009-01348,NCI-2013-00069,NCI-2014-00249,NCI-2009-01208,NCI-2012-00639,NCI-2012-01078,NCI-2014-00399,NCI-2010-02157,NCI-2014-01535,NCI-2011-03309,NCI-2013-00003,NCI-2009-00556,NCI-2010-02003,NCI-2012-00773,NCI-2013-01017,NCI-2012-00640,NCI-2011-02508,NCI-2012-01079,NCI-2011-02878,NCI-2013-02359,NCI-2012-01889,NCI-2012-00636
C8076|Obsolete_Concept|Stage I Adult Diffuse Mixed Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma|NCI-2013-00464,NCI-2012-00644,NCI-2013-00069,NCI-2009-01208,NCI-2012-00639,NCI-2012-01078,NCI-2010-02157,NCI-2014-01535,NCI-2013-00003,NCI-2010-02003,NCI-2012-00773,NCI-2013-01017,NCI-2012-00640,NCI-2012-01079,NCI-2011-02878,NCI-2013-02359,NCI-2012-01889,NCI-2012-00636
C8075|Obsolete_Concept|Stage I Adult Diffuse Small Cleaved Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma|NCI-2013-00464,NCI-2012-00644,NCI-2013-00069,NCI-2009-01208,NCI-2012-00639,NCI-2012-01078,NCI-2014-01535,NCI-2013-00003,NCI-2010-02003,NCI-2012-00773,NCI-2013-01017,NCI-2012-00640,NCI-2012-01079,NCI-2013-02359,NCI-2012-00636
C7795|Obsolete_Concept|Stage I Cutaneous T-Cell Non-Hodgkin Lymphoma|C88150|Stage I Mycosis Fungoides and Sezary Syndrome|NCI-2013-00464,NCI-2013-00713,NCI-2013-00069,NCI-2015-00109,NCI-2009-01208,NCI-2015-00079,NCI-2012-00639,NCI-2015-00891,NCI-2012-01078,NCI-2014-01535,NCI-2013-00003,NCI-2012-00773,NCI-2014-00420,NCI-2012-00640,NCI-2014-02164,NCI-2012-01079,NCI-2016-00894,NCI-2014-01722,NCI-2015-01960,NCI-2012-01952
C7963|Obsolete_Concept|Adult Acute Eosinophilic Leukemia|C3171|Acute Myeloid Leukemia|NCI-2012-00200,NCI-2011-02877,NCI-2011-02988,NCI-2012-01959,NCI-2013-01362
C8307|Obsolete_Concept|Stage III Childhood Large Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma|NCI-2012-00644,NCI-2013-00069,NCI-2012-01963,NCI-2012-00639,NCI-2012-01078,NCI-2012-00807,NCI-2010-01444,NCI-2010-02157,NCI-2012-01076,NCI-2013-01017,NCI-2012-00640,NCI-2012-01079,NCI-2012-01889,NCI-2012-00636
C9076|Obsolete_Concept|Childhood Diffuse Large Cell Lymphoma|C3211|Non-Hodgkin Lymphoma|NCI-2012-00644,NCI-2013-00069,NCI-2012-01963,NCI-2012-00653,NCI-2013-00691,NCI-2012-00845,NCI-2012-00639,NCI-2012-01078,NCI-2012-01942,NCI-2012-00807,NCI-2010-02157,NCI-2010-00228,NCI-2012-00654,NCI-2012-01076,NCI-2013-01017,NCI-2012-00640,NCI-2012-01079,NCI-2013-00985,NCI-2012-01889,NCI-2013-01016,NCI-2012-00636,NCI-2011-00377
C8309|Obsolete_Concept|Recurrent Childhood Large Cell Lymphoma|C9251|Recurrent Non-Hodgkin Lymphoma|NCI-2012-00644,NCI-2012-00653,NCI-2012-00845,NCI-2012-00639,NCI-2012-01078,NCI-2012-01942,NCI-2012-00807,NCI-2010-01444,NCI-2010-02157,NCI-2010-00228,NCI-2012-00654,NCI-2012-01076,NCI-2013-01017,NCI-2012-00640,NCI-2012-01079,NCI-2012-01889,NCI-2013-01016,NCI-2012-00636,NCI-2011-00377
C8305|Obsolete_Concept|Stage I Childhood Large Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma|NCI-2012-00644,NCI-2013-00069,NCI-2012-00639,NCI-2012-01078,NCI-2010-01444,NCI-2010-02157,NCI-2013-01017,NCI-2012-00640,NCI-2012-01079,NCI-2012-01889,NCI-2012-00636
C8306|Obsolete_Concept|Stage II Childhood Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma|NCI-2012-00644,NCI-2013-00069,NCI-2012-00639,NCI-2012-01078,NCI-2010-01444,NCI-2010-02157,NCI-2013-01017,NCI-2012-00640,NCI-2012-01079,NCI-2012-01889,NCI-2012-00636
C8308|Obsolete_Concept|Stage IV Childhood Large Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma|NCI-2012-00644,NCI-2013-00069,NCI-2012-01963,NCI-2012-00639,NCI-2012-01078,NCI-2012-00807,NCI-2010-01444,NCI-2010-02157,NCI-2012-01076,NCI-2013-01017,NCI-2012-00640,NCI-2012-01079,NCI-2012-01889,NCI-2012-00636
C27080|Obsolete_Concept|Refractory Anemia with Excess Blasts in Transformation|C7506|Myelodysplastic Syndrome with Excess Blasts|NCI-2015-01147,NCI-2011-00784,NCI-2013-02218,NCI-2013-02300,NCI-2013-01758,NCI-2013-02252,NCI-2010-01444,NCI-2013-01407,NCI-2016-00391,NCI-2010-02159,NCI-2014-01549,NCI-2015-01849,NCI-2014-01276,NCI-2011-03436,NCI-2012-01659
C6116|Obsolete_Concept|Stage IV Retinoblastoma|C7541|Retinoblastoma|NCI-2014-00275
C5771|Obsolete_Concept|Stage III Extrahepatic Bile Duct Cancer|C88094|Stage III Distal Bile Duct Cancer
|NCI-2017-00643,NCI-2016-01424,NCI-2015-00938,NCI-2016-01057,NCI-2016-01029
C5772|Obsolete_Concept|Stage IV Extrahepatic Bile Duct Cancer|C88095|Stage IV Distal Bile Duct Cancer
|NCI-2017-00643,NCI-2016-01424,NCI-2015-00938
C5774|Obsolete_Concept|Stage IVB Extrahepatic Bile Duct Cancer|C88095|Stage IV Distal Bile Duct Cancer
|NCI-2017-00643,NCI-2016-01171,NCI-2016-01057,NCI-2016-01029
C5773|Obsolete_Concept|Stage IVA Extrahepatic Bile Duct Cancer|C88095|Stage IV Distal Bile Duct Cancer
|NCI-2017-00643,NCI-2016-01171,NCI-2016-01057,NCI-2016-01029
C67453|Obsolete_Concept|Pancreatic Polypeptide Tumor|C3305|Pancreatic Neoplasm|NCI-2013-02388,NCI-2011-03497,NCI-2014-01996,NCI-2013-00309
C5693|Obsolete_Concept|Stage IVB Esophageal Cancer|C89804|Stage IV Esophageal Cancer AJCC v7 |NCI-2016-00086,NCI-2015-00123,NCI-2016-00290,NCI-2016-00409,NCI-2015-00258,NCI-2016-01434,NCI-2011-00920,NCI-2017-00130
C5694|Obsolete_Concept|Stage IVA Esophageal Cancer|C89804|Stage IV Esophageal Cancer AJCC v7 |NCI-2016-00086,NCI-2015-00123,NCI-2016-00290,NCI-2016-00409,NCI-2015-00258,NCI-2016-01434,NCI-2011-00920,NCI-2017-00130
C6735|Obsolete_Concept|Stage IVB Esophageal Squamous Cell Carcinoma|C5019|Stage IV Esophageal Squamous Cell Carcinoma AJCC v7 |NCI-2016-00463,NCI-2016-01079,NCI-2014-01218,NCI-2017-00384
C6736|Obsolete_Concept|Stage IVA Esophageal Squamous Cell Carcinoma|C5019|Stage IV Esophageal Squamous Cell Carcinoma AJCC v7 |NCI-2016-00463,NCI-2016-01079,NCI-2014-01218,NCI-2017-00384
C6158|Obsolete_Concept|Infiltrating Ureter Urothelial Carcinoma with Mixed Differentiation|C4830|Ureter Urothelial Carcinoma|NCI-2013-02093
C9368|Obsolete_Concept|Stage IVB Bladder Cancer|C89366|Stage IV Bladder Cancer|NCI-2011-01165,NCI-2013-00509,NCI-2016-00265,NCI-2016-01822,NCI-2015-01217,NCI-2016-00227,NCI-2015-01452,NCI-2016-00114,NCI-2015-02151
C9367|Obsolete_Concept|Stage IVA Bladder Cancer|C89366|Stage IV Bladder Cancer|NCI-2011-01165,NCI-2013-00509,NCI-2016-00265,NCI-2016-01822,NCI-2015-01217,NCI-2016-00227,NCI-2015-01452,NCI-2016-00114,NCI-2015-02151
C7947|Obsolete_Concept|Adult Malignant Mesenchymoma|C9118|Sarcoma|NCI-2013-01735,NCI-2012-00052,NCI-2013-01440
C5998|Obsolete_Concept|Stage IIA Nasopharyngeal Carcinoma|C88982|Stage II Nasopharyngeal Carcinoma AJCC v7|NCI-2017-00147
C5999|Obsolete_Concept|Stage IIB Nasopharyngeal Carcinoma|C88982|Stage II Nasopharyngeal Carcinoma AJCC v7|NCI-2017-00147
C6733|Obsolete_Concept|Stage IVA Esophageal Adenocarcinoma|C8632|Stage IV Esophageal Adenocarcinoma AJCC v7|NCI-2015-00758,NCI-2016-01782,NCI-2017-00384
C6734|Obsolete_Concept|Stage IVB Esophageal Adenocarcinoma|C8632|Stage IV Esophageal Adenocarcinoma AJCC v7|NCI-2015-00758,NCI-2016-01782,NCI-2017-00384
C70649|Obsolete_Concept|T-Cell Chronic Lymphocytic Leukemia|C3163|Chronic Lymphocytic Leukemia|NCI-2010-00130,NCI-2010-02035,NCI-2010-02222
C8626|Obsolete_Concept|Stage IV Gastric Cancer with Metastasis|C89861|Stage IV Gastric Cancer AJCC v7 |NCI-2016-00290,NCI-2015-00761,NCI-2016-01247,NCI-2017-00491
C114593|Obsolete_Concept|Adult TdT Positive Acute Lymphoblastic Leukemia|C3167|Acute Lymphoblastic Leukemia|NCI-2010-00051
C7213|Obsolete_Concept|AIDS-Related Diffuse Large Cell Lymphoma|C5051|AIDS-Related Non-Hodgkin Lymphoma|NCI-2011-02508,NCI-2012-00718,NCI-2012-01695,NCI-2014-01534
C3464|Obsolete_Concept|Adult Diffuse Small Cleaved Cell Lymphoma|C3211|Non-Hodgkin Lymphoma|NCI-2009-00406
C7871|Obsolete_Concept|Adult Diffuse Mixed Cell Lymphoma|C3211|Non-Hodgkin Lymphoma|NCI-2009-00406
C7872|Obsolete_Concept|Adult Diffuse Large Cell Lymphoma|C3211|Non-Hodgkin Lymphoma|NCI-2012-00718,NCI-2012-02178
C8097|Obsolete_Concept|Childhood Malignant Mesenchymoma|C9118|Sarcoma|NCI-2013-01440
C8584|Obsolete_Concept|Stage IIC Soft Tissue Sarcoma|C6538|Stage II Soft Tissue Sarcoma|NCI-2016-01782
C5005|Obsolete_Concept|High Grade Burkitt-Like Lymphoma|C6917|Atypical Burkitt/Burkitt-Like Lymphoma|NCI-2015-01702
C27823|Obsolete_Concept|Malignant Lymphoma, Large Cell Type|C3208|Lymphoma|NCI-2009-01551
C9165|Obsolete_Concept|Childhood Acute Eosinophilic Leukemia|C3171|Acute Myeloid Leukemia|NCI-2011-02212
C3162|Obsolete_Concept|B-Cell Leukemia|C3161|Leukemia|NCI-2015-00555
C8297|Obsolete_Concept|AIDS-Related Diffuse Small Cleaved Cell Lymphoma|C5051|AIDS-Related Non-Hodgkin Lymphoma|NCI-2014-01534
C8296|Obsolete_Concept|AIDS-Related Diffuse Mixed Cell Lymphoma|C5051|AIDS-Related Non-Hodgkin Lymphoma|NCI-2014-01534
C5725|Obsolete_Concept|Pancreatic Intraductal Papillary-Mucinous Carcinoma|C38342|Pancreatic Intraductal Papillary-Mucinous Neoplasm|NCI-2016-01471
C3735|Retired_Concept|Myxoid Liposarcoma|C27781|Myxoid Liposarcoma|NCI-2016-01178,NCI-2014-02583,NCI-2013-01779,NCI-2015-01777,NCI-2017-00028
C27911||Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma|C27910|Mature B-Cell Neoplasm|NCI-2015-02273,NCI-2014-02214,NCI-2016-01341,NCI-2016-00527,NCI-2016-01352,NCI-2014-00220,NCI-2015-02149
C9107||Childhood Solid Tumor|C9292|Solid Neoplasm|NCI-2014-01222,NCI-2010-01498,NCI-2013-01196,NCI-2013-01179,NCI-2014-02410,NCI-2016-00678,NCI-2010-00836,NCI-2013-00903,NCI-2014-00804,NCI-2012-00129,NCI-2015-01145,NCI-2016-00643,NCI-2016-01258,NCI-2011-00687,NCI-2012-01541,NCI-2012-01942,NCI-2011-01937,NCI-2014-01467,NCI-2015-02274,NCI-2015-00528,NCI-2017-00078,NCI-2016-00549,NCI-2015-00744,NCI-2014-01331,NCI-2011-00797,NCI-2013-00631,NCI-2016-00251,NCI-2015-01214,NCI-2012-00216,NCI-2011-00493,NCI-2014-02681,NCI-2012-00219,NCI-2011-01149,NCI-2014-01093,NCI-2016-00359,NCI-2014-00714,NCI-2014-00195,NCI-2012-01968,NCI-2014-01519,NCI-2015-01637,NCI-2016-01237,NCI-2013-02001,NCI-2009-00324,NCI-2016-00660,NCI-2014-02168,NCI-2013-00030,NCI-2011-02807,NCI-2016-01635,NCI-2016-00680,NCI-2012-01532,NCI-2011-00542,NCI-2013-01215,NCI-2016-00201,NCI-2016-00708,NCI-2016-00868,NCI-2016-01412,NCI-2015-00457
