NCI-2009-00324|C3646|Header_Concept|Neoplasm of Uncertain Malignant Potential|C3341|Pre-Cancerous Condition
NCI-2016-01782|C8575|Obsolete_Concept|Stage IVB Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2012-00146|C8575|Obsolete_Concept|Stage IVB Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2015-01061|C8575|Obsolete_Concept|Stage IVB Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2014-02265|C8575|Obsolete_Concept|Stage IVB Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2015-00184|C8575|Obsolete_Concept|Stage IVB Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2011-00920|C8575|Obsolete_Concept|Stage IVB Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2015-02150|C8575|Obsolete_Concept|Stage IVB Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2017-00578|C8575|Obsolete_Concept|Stage IVB Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2016-00673|C8575|Obsolete_Concept|Stage IVB Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2015-01097|C5730|Obsolete_Concept|Stage IVA Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2016-00311|C5730|Obsolete_Concept|Stage IVA Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2016-00161|C5730|Obsolete_Concept|Stage IVA Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2017-00050|C5730|Obsolete_Concept|Stage IVA Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2015-01207|C5730|Obsolete_Concept|Stage IVA Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2016-00086|C5730|Obsolete_Concept|Stage IVA Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2016-00184|C5730|Obsolete_Concept|Stage IVA Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2015-00123|C5730|Obsolete_Concept|Stage IVA Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2010-01001|C5730|Obsolete_Concept|Stage IVA Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2015-00684|C5730|Obsolete_Concept|Stage IVA Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2014-01219|C5730|Obsolete_Concept|Stage IVA Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2016-01594|C5730|Obsolete_Concept|Stage IVA Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2016-01225|C5730|Obsolete_Concept|Stage IVA Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2015-02218|C5730|Obsolete_Concept|Stage IVA Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2017-00544|C5730|Obsolete_Concept|Stage IVA Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2015-01693|C5730|Obsolete_Concept|Stage IVA Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2017-00045|C5730|Obsolete_Concept|Stage IVA Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2016-00679|C5730|Obsolete_Concept|Stage IVA Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2013-02337|C5730|Obsolete_Concept|Stage IVA Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2016-01037|C5730|Obsolete_Concept|Stage IVA Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2016-01142|C5730|Obsolete_Concept|Stage IVA Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2016-00470|C5730|Obsolete_Concept|Stage IVA Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2016-01343|C5730|Obsolete_Concept|Stage IVA Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2013-02181|C5730|Obsolete_Concept|Stage IVA Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2016-01782|C5730|Obsolete_Concept|Stage IVA Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2012-00146|C5730|Obsolete_Concept|Stage IVA Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2015-01061|C5730|Obsolete_Concept|Stage IVA Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2014-02265|C5730|Obsolete_Concept|Stage IVA Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2015-00184|C5730|Obsolete_Concept|Stage IVA Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2011-00920|C5730|Obsolete_Concept|Stage IVA Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2015-02150|C5730|Obsolete_Concept|Stage IVA Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2017-00578|C5730|Obsolete_Concept|Stage IVA Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2016-00673|C5730|Obsolete_Concept|Stage IVA Pancreatic Cancer|C5711|Stage IV Pancreatic Cancer
NCI-2012-00712|C8475|Obsolete_Concept|Stage II Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2013-00464|C8475|Obsolete_Concept|Stage II Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2011-02673|C8475|Obsolete_Concept|Stage II Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2012-00644|C8475|Obsolete_Concept|Stage II Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2014-00470|C8475|Obsolete_Concept|Stage II Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2009-01348|C8475|Obsolete_Concept|Stage II Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2011-02643|C8475|Obsolete_Concept|Stage II Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2013-00069|C8475|Obsolete_Concept|Stage II Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2014-00249|C8475|Obsolete_Concept|Stage II Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2009-01208|C8475|Obsolete_Concept|Stage II Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2012-00639|C8475|Obsolete_Concept|Stage II Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2012-01078|C8475|Obsolete_Concept|Stage II Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2010-01444|C8475|Obsolete_Concept|Stage II Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2014-00399|C8475|Obsolete_Concept|Stage II Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2010-02157|C8475|Obsolete_Concept|Stage II Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2014-01535|C8475|Obsolete_Concept|Stage II Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2011-03309|C8475|Obsolete_Concept|Stage II Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2013-00003|C8475|Obsolete_Concept|Stage II Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2009-00556|C8475|Obsolete_Concept|Stage II Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2010-02003|C8475|Obsolete_Concept|Stage II Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2012-00773|C8475|Obsolete_Concept|Stage II Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2013-01017|C8475|Obsolete_Concept|Stage II Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2012-00640|C8475|Obsolete_Concept|Stage II Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2011-02508|C8475|Obsolete_Concept|Stage II Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2012-01079|C8475|Obsolete_Concept|Stage II Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2011-02878|C8475|Obsolete_Concept|Stage II Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2013-02359|C8475|Obsolete_Concept|Stage II Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2012-01889|C8475|Obsolete_Concept|Stage II Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2012-00636|C8475|Obsolete_Concept|Stage II Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2012-00712|C8480|Obsolete_Concept|Stage II Non-Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2013-00464|C8480|Obsolete_Concept|Stage II Non-Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2011-02673|C8480|Obsolete_Concept|Stage II Non-Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2012-00644|C8480|Obsolete_Concept|Stage II Non-Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2014-00470|C8480|Obsolete_Concept|Stage II Non-Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2009-01348|C8480|Obsolete_Concept|Stage II Non-Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2011-02643|C8480|Obsolete_Concept|Stage II Non-Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2013-00069|C8480|Obsolete_Concept|Stage II Non-Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2014-00249|C8480|Obsolete_Concept|Stage II Non-Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2009-01208|C8480|Obsolete_Concept|Stage II Non-Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2012-00639|C8480|Obsolete_Concept|Stage II Non-Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2012-01078|C8480|Obsolete_Concept|Stage II Non-Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2010-01444|C8480|Obsolete_Concept|Stage II Non-Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2014-00399|C8480|Obsolete_Concept|Stage II Non-Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2010-02157|C8480|Obsolete_Concept|Stage II Non-Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2014-01535|C8480|Obsolete_Concept|Stage II Non-Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2011-03309|C8480|Obsolete_Concept|Stage II Non-Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2013-00003|C8480|Obsolete_Concept|Stage II Non-Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2009-00556|C8480|Obsolete_Concept|Stage II Non-Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2010-02003|C8480|Obsolete_Concept|Stage II Non-Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2012-00773|C8480|Obsolete_Concept|Stage II Non-Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2013-01017|C8480|Obsolete_Concept|Stage II Non-Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2012-00640|C8480|Obsolete_Concept|Stage II Non-Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2011-02508|C8480|Obsolete_Concept|Stage II Non-Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2012-01079|C8480|Obsolete_Concept|Stage II Non-Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2011-02878|C8480|Obsolete_Concept|Stage II Non-Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2013-02359|C8480|Obsolete_Concept|Stage II Non-Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2012-01889|C8480|Obsolete_Concept|Stage II Non-Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2012-00636|C8480|Obsolete_Concept|Stage II Non-Contiguous Adult Diffuse Large Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2012-00712|C8135|Obsolete_Concept|Stage III Adult Diffuse Large Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2013-00464|C8135|Obsolete_Concept|Stage III Adult Diffuse Large Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2011-02673|C8135|Obsolete_Concept|Stage III Adult Diffuse Large Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2012-00644|C8135|Obsolete_Concept|Stage III Adult Diffuse Large Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2014-00470|C8135|Obsolete_Concept|Stage III Adult Diffuse Large Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2009-01348|C8135|Obsolete_Concept|Stage III Adult Diffuse Large Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2011-02643|C8135|Obsolete_Concept|Stage III Adult Diffuse Large Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2013-00069|C8135|Obsolete_Concept|Stage III Adult Diffuse Large Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2014-00249|C8135|Obsolete_Concept|Stage III Adult Diffuse Large Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2009-01208|C8135|Obsolete_Concept|Stage III Adult Diffuse Large Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2012-00639|C8135|Obsolete_Concept|Stage III Adult Diffuse Large Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2012-01078|C8135|Obsolete_Concept|Stage III Adult Diffuse Large Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2012-00807|C8135|Obsolete_Concept|Stage III Adult Diffuse Large Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2014-00399|C8135|Obsolete_Concept|Stage III Adult Diffuse Large Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2013-00698|C8135|Obsolete_Concept|Stage III Adult Diffuse Large Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2010-02157|C8135|Obsolete_Concept|Stage III Adult Diffuse Large Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2014-01535|C8135|Obsolete_Concept|Stage III Adult Diffuse Large Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2011-03309|C8135|Obsolete_Concept|Stage III Adult Diffuse Large Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2013-00003|C8135|Obsolete_Concept|Stage III Adult Diffuse Large Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2009-00556|C8135|Obsolete_Concept|Stage III Adult Diffuse Large Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2011-00877|C8135|Obsolete_Concept|Stage III Adult Diffuse Large Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2012-01076|C8135|Obsolete_Concept|Stage III Adult Diffuse Large Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2010-02003|C8135|Obsolete_Concept|Stage III Adult Diffuse Large Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2012-00773|C8135|Obsolete_Concept|Stage III Adult Diffuse Large Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2013-01017|C8135|Obsolete_Concept|Stage III Adult Diffuse Large Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2012-00640|C8135|Obsolete_Concept|Stage III Adult Diffuse Large Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2011-02508|C8135|Obsolete_Concept|Stage III Adult Diffuse Large Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2012-01079|C8135|Obsolete_Concept|Stage III Adult Diffuse Large Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2014-01843|C8135|Obsolete_Concept|Stage III Adult Diffuse Large Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2011-02878|C8135|Obsolete_Concept|Stage III Adult Diffuse Large Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2013-02359|C8135|Obsolete_Concept|Stage III Adult Diffuse Large Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2012-01889|C8135|Obsolete_Concept|Stage III Adult Diffuse Large Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2012-00636|C8135|Obsolete_Concept|Stage III Adult Diffuse Large Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2012-00712|C8148|Obsolete_Concept|Stage IV Adult Diffuse Large Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2013-00464|C8148|Obsolete_Concept|Stage IV Adult Diffuse Large Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2011-02673|C8148|Obsolete_Concept|Stage IV Adult Diffuse Large Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2012-00644|C8148|Obsolete_Concept|Stage IV Adult Diffuse Large Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2014-00470|C8148|Obsolete_Concept|Stage IV Adult Diffuse Large Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2009-01348|C8148|Obsolete_Concept|Stage IV Adult Diffuse Large Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2011-02643|C8148|Obsolete_Concept|Stage IV Adult Diffuse Large Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2013-00069|C8148|Obsolete_Concept|Stage IV Adult Diffuse Large Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2014-00249|C8148|Obsolete_Concept|Stage IV Adult Diffuse Large Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2009-01208|C8148|Obsolete_Concept|Stage IV Adult Diffuse Large Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2012-00639|C8148|Obsolete_Concept|Stage IV Adult Diffuse Large Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2012-01078|C8148|Obsolete_Concept|Stage IV Adult Diffuse Large Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2012-00807|C8148|Obsolete_Concept|Stage IV Adult Diffuse Large Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2014-01875|C8148|Obsolete_Concept|Stage IV Adult Diffuse Large Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2010-01444|C8148|Obsolete_Concept|Stage IV Adult Diffuse Large Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2014-00399|C8148|Obsolete_Concept|Stage IV Adult Diffuse Large Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2013-00698|C8148|Obsolete_Concept|Stage IV Adult Diffuse Large Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2010-02157|C8148|Obsolete_Concept|Stage IV Adult Diffuse Large Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2014-01535|C8148|Obsolete_Concept|Stage IV Adult Diffuse Large Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2013-01940|C8148|Obsolete_Concept|Stage IV Adult Diffuse Large Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2011-03309|C8148|Obsolete_Concept|Stage IV Adult Diffuse Large Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2013-00003|C8148|Obsolete_Concept|Stage IV Adult Diffuse Large Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2009-00556|C8148|Obsolete_Concept|Stage IV Adult Diffuse Large Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2011-00877|C8148|Obsolete_Concept|Stage IV Adult Diffuse Large Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2012-01076|C8148|Obsolete_Concept|Stage IV Adult Diffuse Large Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2010-02003|C8148|Obsolete_Concept|Stage IV Adult Diffuse Large Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2012-00773|C8148|Obsolete_Concept|Stage IV Adult Diffuse Large Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2013-01017|C8148|Obsolete_Concept|Stage IV Adult Diffuse Large Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2012-00640|C8148|Obsolete_Concept|Stage IV Adult Diffuse Large Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2011-02508|C8148|Obsolete_Concept|Stage IV Adult Diffuse Large Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2012-01079|C8148|Obsolete_Concept|Stage IV Adult Diffuse Large Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2014-01843|C8148|Obsolete_Concept|Stage IV Adult Diffuse Large Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2011-02878|C8148|Obsolete_Concept|Stage IV Adult Diffuse Large Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2013-02359|C8148|Obsolete_Concept|Stage IV Adult Diffuse Large Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2012-01889|C8148|Obsolete_Concept|Stage IV Adult Diffuse Large Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2012-00636|C8148|Obsolete_Concept|Stage IV Adult Diffuse Large Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2012-01931|C8573|Obsolete_Concept|Stage IIC Adult Soft Tissue Sarcoma|C6538|Stage II Soft Tissue Sarcoma
NCI-2013-00464|C8471|Obsolete_Concept|Stage II Contiguous Adult Diffuse Small Cleaved Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
NCI-2012-00644|C8471|Obsolete_Concept|Stage II Contiguous Adult Diffuse Small Cleaved Cell Lymphoma|C8521|Stage II Non-Hodgkin Lymphoma
